YearMonth,TotalSales,ItemsSold
2019-01,58536,756
2019-02,34085,414
2019-03,107431,1430
2019-04,104444,1215
2019-05,97068,1188
2019-06,108092,1224
2019-07,103378,1287
2019-08,112281,1422
2019-09,193021,2454
2019-10,111584,1511
2019-11,214515,2877
2019-12,271151,2672
2020-01,54481,576
2020-02,58184,576
2020-03,149685,1269
2020-04,186249,1440
2020-05,177387,1350
2020-06,196832,1242
2020-07,145682,1257
2020-08,161168,1456
2020-09,525261,2650
2020-10,311580,1500
2020-11,566532,2912
2020-12,559758,2916
2021-01,69318,853
2021-02,59762,746
2021-03,114633,1491
2021-04,105179,1538
2021-05,138863,2058
2021-06,111797,1844
2021-07,125149,1843
2021-08,111685,1608
2021-09,236069,3279
2021-10,120430,1782
2021-11,215893,3320
2021-12,218935,3286
2022-01,119324,1447
2022-02,67679,963
2022-03,159871,2205
2022-04,133233,1832
2022-05,157151,1973
2022-06,157554,1966
2022-07,143335,1840
2022-08,136289,1783
2022-09,291495,3717
2022-10,207464,2469
2022-11,307534,3662
2022-12,292965,3848
