Year,ProductDescription,TotalSales
2019,"Atomos Ninja V 5-Inch 4K Photo and Video Portable Monitor | 1920 x 1080 Touchscreen Display Video Monitors with HDMI 2.0 in/Out | SmallRig Camera Hot Shoe Mount, Battery & Charger Bundle Set",33008
2019,Sony MPK-URX100A Underwater Housing - Black,12309
2019,"Canal Toys Photo Creator Instant Print Camera – Photo, Selfie and Video – Thermal Paper for 250 Photos – LCD Screen. 8+",11491
2019,"Solid Gear SGUS80006 Hydra GTX BOA® Safety Shoe, Size 12",11086
2019,"KODAK Step Slim Instant Mobile Color Photo Printer – Wirelessly Print 2x3” Photos on Zink Paper with iOS & Android Devices, White",9517
2020,"OnePlus Pad 11.61"" LCD Display, 8GB RAM,128GB Storage, MediaTek Dimensity 9000, Android 13.1, 144HZ Refresh Rate, Dolby Vision Atmos, Wi-Fi with Cellular Data Sharing Tablet",39757
2020,"Atomos Ninja V 5-Inch 4K Photo and Video Portable Monitor | 1920 x 1080 Touchscreen Display Video Monitors with HDMI 2.0 in/Out | SmallRig Camera Hot Shoe Mount, Battery & Charger Bundle Set",27501
2020,"Canal Toys Photo Creator Instant Print Camera – Photo, Selfie and Video – Thermal Paper for 250 Photos – LCD Screen. 8+",25171
2020,"KODAK Step Slim Instant Mobile Color Photo Printer – Wirelessly Print 2x3” Photos on Zink Paper with iOS & Android Devices, White",23445
2020,Developing the Quarterback - The Basics VHS,15951
2021,"Atomos Ninja V 5-Inch 4K Photo and Video Portable Monitor | 1920 x 1080 Touchscreen Display Video Monitors with HDMI 2.0 in/Out | SmallRig Camera Hot Shoe Mount, Battery & Charger Bundle Set",18238
2021,"Canal Toys Photo Creator Instant Print Camera – Photo, Selfie and Video – Thermal Paper for 250 Photos – LCD Screen. 8+",17571
2021,"Solid Gear SGUS80006 Hydra GTX BOA® Safety Shoe, Size 12",15754
2021,"KODAK Step Slim Instant Mobile Color Photo Printer – Wirelessly Print 2x3” Photos on Zink Paper with iOS & Android Devices, White",13507
2021,Vince Camuto Men's Lyre Dress Shoe Oxford,10810
2022,"Nikon Wide Angle AF Nikkor 24mm f/2.8D Lens [International Version, No Warranty]",33550
2022,"Atomos Ninja V 5-Inch 4K Photo and Video Portable Monitor | 1920 x 1080 Touchscreen Display Video Monitors with HDMI 2.0 in/Out | SmallRig Camera Hot Shoe Mount, Battery & Charger Bundle Set",28444
2022,"Solid Gear SGUS80006 Hydra GTX BOA® Safety Shoe, Size 12",26872
2022,"Canal Toys Photo Creator Instant Print Camera – Photo, Selfie and Video – Thermal Paper for 250 Photos – LCD Screen. 8+",21624
2022,Vince Camuto Men's Lyre Dress Shoe Oxford,19350
